intersection,union-intersection,jaccard,n_intersections,name_1,name_2
1509794,155145101,0.0097315,13967,b8.NH-A-H3K36me3,a1.E081
1481099,150684155,0.00982916,16925,b8.NH-A-H3K36me3,a2.E082
2043069,223500311,0.00914124,8277,b8.NH-A-H3K36me3,a3.Noonan
903151,114256537,0.00790459,4300,b8.NH-A-H3K36me3,a4.E129
188756,105794919,0.00178417,1777,b8.NH-A-H3K36me3,a5.hNSC-50
68506,92067973,0.0007440810000000001,697,b8.NH-A-H3K36me3,a6.hNSC-P5-1
92872,93816446,0.0009899330000000001,1009,b8.NH-A-H3K36me3,a7.hNSC-P5-2
101804,94050271,0.00108244,1124,b8.NH-A-H3K36me3,a8.hNSC-P15-1
824173,106123877,0.00776614,7978,b8.NH-A-H3K36me3,b1.Chorion-DNase
262608,90214367,0.00291093,1981,b8.NH-A-H3K36me3,b2.NH-A-CTCF
613065,108002715,0.00567639,6152,b8.NH-A-H3K36me3,b3.NH-A-DNase
457,83491518,5.47361e-06,5,b8.NH-A-H3K36me3,b4.NH-A-EZH2
92512,124009409,0.000746008,677,b8.NH-A-H3K36me3,b5.NH-A-H2AZ
4478695,160369233,0.0279274,18804,b8.NH-A-H3K36me3,b6.NH-A-H3K27ac
71163,143897702,0.000494539,437,b8.NH-A-H3K36me3,b7.NH-A-H3K27me3
79879880,79879880,1.0,248866,b8.NH-A-H3K36me3,b8.NH-A-H3K36me3
14532282,187580585,0.07747219999999999,96398,c1.NH-A-H3K4me1,a1.E081
14008276,183614950,0.0762916,106386,c1.NH-A-H3K4me1,a2.E082
37318422,233682930,0.159697,72163,c1.NH-A-H3K4me1,a3.Noonan
300409,160317251,0.00187384,2175,c1.NH-A-H3K4me1,a4.E129
6568625,144873022,0.0453406,47274,c1.NH-A-H3K4me1,a5.hNSC-50
2712724,134881727,0.020111900000000002,23829,c1.NH-A-H3K4me1,a6.hNSC-P5-1
3003512,136363778,0.022025700000000002,27241,c1.NH-A-H3K4me1,a7.hNSC-P5-2
3401480,136208567,0.0249726,30046,c1.NH-A-H3K4me1,a8.hNSC-P15-1
5746453,146659569,0.0391823,50630,c1.NH-A-H3K4me1,b1.Chorion-DNase
2085923,133849024,0.0155841,13509,c1.NH-A-H3K4me1,b2.NH-A-CTCF
12749583,141324169,0.0902152,110811,c1.NH-A-H3K4me1,b3.NH-A-DNase
1308930,127641017,0.010254799999999998,3781,c1.NH-A-H3K4me1,b4.NH-A-EZH2
24820192,144739701,0.171482,77150,c1.NH-A-H3K4me1,b5.NH-A-H2AZ
